year,from_country_id,to_country_id,fixed_effects
1986,AUT,LUX,
1987,AUT,LUX,
1988,AUT,LUX,
1989,AUT,LUX,
1990,AUT,LUX,
1991,AUT,LUX,
1992,AUT,LUX,
1993,AUT,LUX,
2024,AUT,LUX,-.0605175361523367
2025,AUT,LUX,
1957,AUT,DEU,
1958,AUT,DEU,
1959,AUT,DEU,
1960,AUT,DEU,
1961,AUT,DEU,
1962,AUT,DEU,
1963,AUT,DEU,
1964,AUT,DEU,
1965,AUT,DEU,
1966,AUT,DEU,
1967,AUT,DEU,
1968,AUT,DEU,
1971,AUT,DEU,
1972,AUT,DEU,
1976,AUT,DEU,
1977,AUT,DEU,
1978,AUT,DEU,
1979,AUT,DEU,
1980,AUT,DEU,
1981,AUT,DEU,
1982,AUT,DEU,
1983,AUT,DEU,
1984,AUT,DEU,
1985,AUT,DEU,
1986,AUT,DEU,
1987,AUT,DEU,
1988,AUT,DEU,
1989,AUT,DEU,
1990,AUT,DEU,
1991,AUT,DEU,
1992,AUT,DEU,
1993,AUT,DEU,
1994,AUT,DEU,
1995,AUT,DEU,-.1798072481899783
1997,AUT,DEU,-.188308982680379
1999,AUT,DEU,-.1661860951177911
2000,AUT,DEU,-.2041808180505107
2002,AUT,DEU,-.1844136759387269
2003,AUT,DEU,-.1810432146669619
2004,AUT,DEU,-.1853521885120126
2005,AUT,DEU,-.1911954143686276
2007,AUT,DEU,-.1821901995001147
2011,AUT,DEU,-.1868834916493516
2012,AUT,DEU,-.2150563032779467
2013,AUT,DEU,-.2099659130050335
2014,AUT,DEU,-.1914909714085307
2015,AUT,DEU,-.1965818559578348
2016,AUT,DEU,-.2041337380558539
2017,AUT,DEU,-.2167560120879368
2018,AUT,DEU,-.2041476505809816
2019,AUT,DEU,-.2036797792554563
2021,AUT,DEU,-.2066656993318635
2022,AUT,DEU,-.2155167765617202
2023,AUT,DEU,-.1963565570216461
2024,AUT,DEU,-.1827883978531174
2025,AUT,DEU,
2026,AUT,DEU,
1957,AUT,ITA,
1958,AUT,ITA,
1959,AUT,ITA,
1960,AUT,ITA,
1961,AUT,ITA,
1962,AUT,ITA,
1963,AUT,ITA,
1964,AUT,ITA,
1965,AUT,ITA,
1966,AUT,ITA,
1967,AUT,ITA,
1968,AUT,ITA,
1971,AUT,ITA,
1972,AUT,ITA,
1976,AUT,ITA,
1977,AUT,ITA,
1978,AUT,ITA,
1979,AUT,ITA,
1980,AUT,ITA,
1983,AUT,ITA,
1984,AUT,ITA,
1985,AUT,ITA,
1987,AUT,ITA,
1988,AUT,ITA,
1989,AUT,ITA,
1990,AUT,ITA,
1991,AUT,ITA,
1992,AUT,ITA,
1993,AUT,ITA,
1997,AUT,ITA,.0522584126202568
2011,AUT,ITA,.0536839036512847
2012,AUT,ITA,.0255110920226893
2013,AUT,ITA,.0306014822956018
2014,AUT,ITA,.049076423892105
2015,AUT,ITA,.0439855393428014
2016,AUT,ITA,.0364336572447825
2017,AUT,ITA,.0238113832126989
2018,AUT,ITA,.0364197447196539
2019,AUT,ITA,.0368876160451796
2021,AUT,ITA,.0339016959687715
2022,AUT,ITA,.0250506187389156
2023,AUT,ITA,.0442108382789892
2024,AUT,ITA,.0577789974475182
2025,AUT,ITA,
2026,AUT,ITA,
1957,AUT,GBR,
1959,AUT,GBR,
1960,AUT,GBR,
1961,AUT,GBR,
1962,AUT,GBR,
1963,AUT,GBR,
1964,AUT,GBR,
1965,AUT,GBR,
1966,AUT,GBR,
1967,AUT,GBR,
1968,AUT,GBR,
1971,AUT,GBR,
1972,AUT,GBR,
1976,AUT,GBR,
1977,AUT,GBR,
1978,AUT,GBR,
1979,AUT,GBR,
1980,AUT,GBR,
1981,AUT,GBR,
1982,AUT,GBR,
1983,AUT,GBR,
1984,AUT,GBR,
1985,AUT,GBR,
1986,AUT,GBR,
1987,AUT,GBR,
1988,AUT,GBR,
1989,AUT,GBR,
1990,AUT,GBR,
1991,AUT,GBR,
1992,AUT,GBR,
1993,AUT,GBR,
1994,AUT,GBR,
1995,AUT,GBR,-.1360746840668305
1996,AUT,GBR,-.1269512327597099
1997,AUT,GBR,-.1445764185572317
1999,AUT,GBR,-.1224535309946438
2000,AUT,GBR,-.160448253927363
2002,AUT,GBR,-.1406811118155795
2003,AUT,GBR,-.1373106505438139
2004,AUT,GBR,-.1416196243888642
2005,AUT,GBR,-.1474628502454792
2007,AUT,GBR,-.1384576353769674
2011,AUT,GBR,-.1431509275262041
2012,AUT,GBR,-.1713237391547987
2013,AUT,GBR,-.1662333488818856
2014,AUT,GBR,-.1477584072853828
2015,AUT,GBR,-.1528492918346871
2016,AUT,GBR,-.1604011739327057
2017,AUT,GBR,-.1730234479647895
2018,AUT,GBR,-.1604150864578337
2019,AUT,GBR,-.159947215132309
2021,AUT,GBR,-.1629331352087159
2022,AUT,GBR,-.1717842124385724
2023,AUT,GBR,-.1526239928984985
2024,AUT,GBR,-.1390558337299697
2025,AUT,GBR,
2026,AUT,GBR,
1957,AUT,BEL,
1958,AUT,BEL,
1959,AUT,BEL,
1960,AUT,BEL,
1961,AUT,BEL,
1962,AUT,BEL,
1963,AUT,BEL,
1964,AUT,BEL,
1965,AUT,BEL,
1966,AUT,BEL,
1967,AUT,BEL,
1968,AUT,BEL,
1971,AUT,BEL,
1972,AUT,BEL,
1976,AUT,BEL,
1977,AUT,BEL,
1978,AUT,BEL,
1979,AUT,BEL,
1980,AUT,BEL,
1981,AUT,BEL,
1982,AUT,BEL,
1983,AUT,BEL,
1984,AUT,BEL,
1985,AUT,BEL,
1986,AUT,BEL,
1987,AUT,BEL,
1988,AUT,BEL,
1989,AUT,BEL,
1990,AUT,BEL,
1991,AUT,BEL,
1992,AUT,BEL,
1993,AUT,BEL,
1995,AUT,BEL,
1996,AUT,BEL,
1999,AUT,BEL,
2000,AUT,BEL,
2002,AUT,BEL,
2003,AUT,BEL,
2004,AUT,BEL,
2013,AUT,BEL,-.0616646745812995
2015,AUT,BEL,-.0482806175341002
2016,AUT,BEL,-.0558324996321202
2017,AUT,BEL,-.0684547736642027
2021,AUT,BEL,-.05836446090813
2022,AUT,BEL,-.0672155381379861
2023,AUT,BEL,-.0480553185979125
2026,AUT,BEL,
1957,AUT,CHE,
1958,AUT,CHE,
1959,AUT,CHE,
1960,AUT,CHE,
1961,AUT,CHE,
1962,AUT,CHE,
1963,AUT,CHE,
1964,AUT,CHE,
1965,AUT,CHE,
1966,AUT,CHE,
1967,AUT,CHE,
1968,AUT,CHE,
1971,AUT,CHE,
1972,AUT,CHE,
1976,AUT,CHE,
1977,AUT,CHE,
1978,AUT,CHE,
1979,AUT,CHE,
1980,AUT,CHE,
1981,AUT,CHE,
1982,AUT,CHE,
1983,AUT,CHE,
1984,AUT,CHE,
1985,AUT,CHE,
1986,AUT,CHE,
1987,AUT,CHE,
1988,AUT,CHE,
1989,AUT,CHE,
1990,AUT,CHE,
1991,AUT,CHE,
1992,AUT,CHE,
1993,AUT,CHE,
1994,AUT,CHE,
1996,AUT,CHE,-.0225350326060776
1997,AUT,CHE,-.0401602184035986
2000,AUT,CHE,-.0560320537737307
2002,AUT,CHE,-.0362649116619466
2005,AUT,CHE,-.043046650091847
2011,AUT,CHE,-.0387347273725717
2014,AUT,CHE,-.0433422071317506
2019,AUT,CHE,-.0555310149786766
2021,AUT,CHE,-.0585169350550837
2022,AUT,CHE,-.0673680122849399
2023,AUT,CHE,-.0482077927448658
2024,AUT,CHE,-.0346396335763376
2025,AUT,CHE,
1957,BEL,NLD,
1958,BEL,NLD,
1959,BEL,NLD,
1960,BEL,NLD,
1961,BEL,NLD,
1962,BEL,NLD,
1963,BEL,NLD,
1964,BEL,NLD,
1965,BEL,NLD,
1966,BEL,NLD,
1967,BEL,NLD,
1968,BEL,NLD,
1969,BEL,NLD,
1970,BEL,NLD,
1971,BEL,NLD,
1972,BEL,NLD,
1973,BEL,NLD,
1974,BEL,NLD,
1975,BEL,NLD,
1976,BEL,NLD,
1977,BEL,NLD,
1978,BEL,NLD,
1979,BEL,NLD,
1980,BEL,NLD,
1981,BEL,NLD,
1982,BEL,NLD,
1983,BEL,NLD,
1984,BEL,NLD,
1986,BEL,NLD,
1987,BEL,NLD,
1988,BEL,NLD,
1989,BEL,NLD,
1990,BEL,NLD,
1992,BEL,NLD,
1993,BEL,NLD,
1996,BEL,NLD,-.032066509796663
1998,BEL,NLD,-.028060452058554
1999,BEL,NLD,-.0275688080315958
2000,BEL,NLD,-.0655635309643163
2003,BEL,NLD,-.0424259275807673
2004,BEL,NLD,-.046734901425817
2013,BEL,NLD,-.0713486259188392
2014,BEL,NLD,-.0528736843223356
2016,BEL,NLD,-.0655164509696589
2017,BEL,NLD,-.078138725001742
2018,BEL,NLD,-.0655303634947867
2019,BEL,NLD,-.0650624921692617
2021,BEL,NLD,-.0680484122456686
2022,BEL,NLD,-.0768994894755255
2025,BEL,NLD,
1957,BEL,FRA,
1958,BEL,FRA,
1959,BEL,FRA,
1960,BEL,FRA,
1961,BEL,FRA,
1962,BEL,FRA,
1963,BEL,FRA,
1964,BEL,FRA,
1965,BEL,FRA,
1966,BEL,FRA,
1967,BEL,FRA,
1968,BEL,FRA,
1969,BEL,FRA,
1970,BEL,FRA,
1971,BEL,FRA,
1972,BEL,FRA,
1973,BEL,FRA,
1975,BEL,FRA,
1976,BEL,FRA,
1977,BEL,FRA,
1978,BEL,FRA,
1979,BEL,FRA,
1980,BEL,FRA,
1981,BEL,FRA,
1983,BEL,FRA,
1984,BEL,FRA,
1985,BEL,FRA,
1986,BEL,FRA,
1987,BEL,FRA,
1988,BEL,FRA,
1989,BEL,FRA,
1990,BEL,FRA,
1991,BEL,FRA,
1992,BEL,FRA,
1993,BEL,FRA,
1995,BEL,FRA,-.1230008431938016
1996,BEL,FRA,-.1138773918866812
1998,BEL,FRA,-.109871334148572
1999,BEL,FRA,-.1093796901216152
2000,BEL,FRA,-.1473744130543345
2002,BEL,FRA,-.1276072709425508
2003,BEL,FRA,-.1242368096707856
2004,BEL,FRA,-.1285457835158359
2005,BEL,FRA,-.1343890093724512
2006,BEL,FRA,-.123421724468001
2007,BEL,FRA,-.1253837945039388
2008,BEL,FRA,-.1390970636409309
2009,BEL,FRA,-.1335152171510383
2010,BEL,FRA,-.120868951040388
2011,BEL,FRA,-.1300770866531748
2012,BEL,FRA,-.1582498982817698
2013,BEL,FRA,-.1531595080088574
2014,BEL,FRA,-.1346845664123543
2015,BEL,FRA,-.1397754509616582
2016,BEL,FRA,-.1473273330596777
2017,BEL,FRA,-.1599496070917601
2018,BEL,FRA,-.1473412455848055
2019,BEL,FRA,-.1468733742592803
2021,BEL,FRA,-.1498592943356875
2022,BEL,FRA,-.1587103715655436
2023,BEL,FRA,-.1395501520254695
2024,BEL,FRA,-.1259819928569412
2025,BEL,FRA,
2026,BEL,FRA,
1957,BEL,DNK,
1958,BEL,DNK,
1959,BEL,DNK,
1960,BEL,DNK,
1961,BEL,DNK,
1962,BEL,DNK,
1963,BEL,DNK,
1964,BEL,DNK,
1965,BEL,DNK,
1966,BEL,DNK,
1978,BEL,DNK,
1979,BEL,DNK,
1980,BEL,DNK,
1981,BEL,DNK,
1982,BEL,DNK,
1983,BEL,DNK,
1984,BEL,DNK,
1985,BEL,DNK,
1986,BEL,DNK,
1987,BEL,DNK,
1988,BEL,DNK,
1989,BEL,DNK,
1990,BEL,DNK,
1991,BEL,DNK,
1992,BEL,DNK,
1993,BEL,DNK,
1995,BEL,DNK,
1999,BEL,DNK,
2000,BEL,DNK,
2002,BEL,DNK,
2005,BEL,DNK,
2006,BEL,DNK,
2008,BEL,DNK,
2009,BEL,DNK,
2010,BEL,DNK,.0183664436097459
2011,BEL,DNK,.0091583079969584
2012,BEL,DNK,-.0190145036316365
2013,BEL,DNK,-.0139241133587243
2014,BEL,DNK,.0045508282377792
2017,BEL,DNK,-.0207142124416266
2018,BEL,DNK,-.0081058509346715
2019,BEL,DNK,-.0076379796091462
2025,BEL,DNK,
2026,BEL,DNK,
1957,BEL,LUX,
1958,BEL,LUX,
1960,BEL,LUX,
1961,BEL,LUX,
1962,BEL,LUX,
1963,BEL,LUX,
1964,BEL,LUX,
1965,BEL,LUX,
1966,BEL,LUX,
1967,BEL,LUX,
1968,BEL,LUX,
1969,BEL,LUX,
1970,BEL,LUX,
1971,BEL,LUX,
1972,BEL,LUX,
1973,BEL,LUX,
1974,BEL,LUX,
1975,BEL,LUX,
1976,BEL,LUX,
1977,BEL,LUX,
1978,BEL,LUX,
1979,BEL,LUX,
1980,BEL,LUX,
1981,BEL,LUX,
1982,BEL,LUX,
1983,BEL,LUX,
1984,BEL,LUX,
1985,BEL,LUX,
1986,BEL,LUX,
1987,BEL,LUX,
1988,BEL,LUX,
1989,BEL,LUX,
1990,BEL,LUX,
1991,BEL,LUX,
1992,BEL,LUX,
1993,BEL,LUX,
2024,BEL,LUX,-.072546264838982
2025,BEL,LUX,
1957,BEL,DEU,
1958,BEL,DEU,
1959,BEL,DEU,
1960,BEL,DEU,
1961,BEL,DEU,
1962,BEL,DEU,
1963,BEL,DEU,
1964,BEL,DEU,
1965,BEL,DEU,
1966,BEL,DEU,
1967,BEL,DEU,
1968,BEL,DEU,
1969,BEL,DEU,
1970,BEL,DEU,
1971,BEL,DEU,
1972,BEL,DEU,
1973,BEL,DEU,
1974,BEL,DEU,
1975,BEL,DEU,
1976,BEL,DEU,
1977,BEL,DEU,
1978,BEL,DEU,
1979,BEL,DEU,
1980,BEL,DEU,
1981,BEL,DEU,
1982,BEL,DEU,
1983,BEL,DEU,
1984,BEL,DEU,
1985,BEL,DEU,
1986,BEL,DEU,
1987,BEL,DEU,
1988,BEL,DEU,
1989,BEL,DEU,
1990,BEL,DEU,
1991,BEL,DEU,
1992,BEL,DEU,
1993,BEL,DEU,
1995,BEL,DEU,-.1918359768766232
1998,BEL,DEU,-.1787064678313928
1999,BEL,DEU,-.1782148238044368
2000,BEL,DEU,-.216209546737155
2002,BEL,DEU,-.1964424046253712
2003,BEL,DEU,-.1930719433536066
2004,BEL,DEU,-.1973809171986568
2005,BEL,DEU,-.2032241430552721
2006,BEL,DEU,-.1922568581508224
2007,BEL,DEU,-.19421892818676
2008,BEL,DEU,-.2079321973237518
2009,BEL,DEU,-.2023503508338594
2010,BEL,DEU,-.189704084723209
2011,BEL,DEU,-.1989122203359963
2012,BEL,DEU,-.2270850319645911
2013,BEL,DEU,-.2219946416916786
2014,BEL,DEU,-.2035197000951756
2015,BEL,DEU,-.2086105846444795
2016,BEL,DEU,-.2161624667424983
2017,BEL,DEU,-.2287847407745807
2018,BEL,DEU,-.2161763792676265
2019,BEL,DEU,-.215708507942101
2021,BEL,DEU,-.2186944280185088
2022,BEL,DEU,-.2275455052483647
2023,BEL,DEU,-.2083852857082909
2024,BEL,DEU,-.1948171265397624
2025,BEL,DEU,
2026,BEL,DEU,
1957,BEL,ITA,
1958,BEL,ITA,
1959,BEL,ITA,
1960,BEL,ITA,
1961,BEL,ITA,
1962,BEL,ITA,
1963,BEL,ITA,
1964,BEL,ITA,
1965,BEL,ITA,
1966,BEL,ITA,
1967,BEL,ITA,
1968,BEL,ITA,
1969,BEL,ITA,
1970,BEL,ITA,
1971,BEL,ITA,
1972,BEL,ITA,
1973,BEL,ITA,
1974,BEL,ITA,
1975,BEL,ITA,
1976,BEL,ITA,
1977,BEL,ITA,
1978,BEL,ITA,
1979,BEL,ITA,
1980,BEL,ITA,
1983,BEL,ITA,
1984,BEL,ITA,
1985,BEL,ITA,
1987,BEL,ITA,
1988,BEL,ITA,
1989,BEL,ITA,
1990,BEL,ITA,
1991,BEL,ITA,
1992,BEL,ITA,
1993,BEL,ITA,
2011,BEL,ITA,.0416551749646397
2012,BEL,ITA,.0134823633360445
2013,BEL,ITA,.0185727536089573
2014,BEL,ITA,.0370476952054606
2015,BEL,ITA,.0319568106561564
2016,BEL,ITA,.0244049285581381
2017,BEL,ITA,.0117826545260543
2018,BEL,ITA,.0243910160330092
2019,BEL,ITA,.0248588873585344
2021,BEL,ITA,.0218729672821277
2022,BEL,ITA,.0130218900522704
2023,BEL,ITA,.0321821095923442
2024,BEL,ITA,.0457502687608738
2025,BEL,ITA,
2026,BEL,ITA,
1957,BEL,GBR,
1959,BEL,GBR,
1960,BEL,GBR,
1961,BEL,GBR,
1962,BEL,GBR,
1963,BEL,GBR,
1964,BEL,GBR,
1965,BEL,GBR,
1966,BEL,GBR,
1967,BEL,GBR,
1968,BEL,GBR,
1969,BEL,GBR,
1970,BEL,GBR,
1971,BEL,GBR,
1972,BEL,GBR,
1973,BEL,GBR,
1974,BEL,GBR,
1975,BEL,GBR,
1976,BEL,GBR,
1977,BEL,GBR,
1978,BEL,GBR,
1979,BEL,GBR,
1980,BEL,GBR,
1981,BEL,GBR,
1982,BEL,GBR,
1983,BEL,GBR,
1984,BEL,GBR,
1985,BEL,GBR,
1986,BEL,GBR,
1987,BEL,GBR,
1988,BEL,GBR,
1989,BEL,GBR,
1990,BEL,GBR,
1991,BEL,GBR,
1992,BEL,GBR,
1993,BEL,GBR,
1995,BEL,GBR,-.1481034127534751
1996,BEL,GBR,-.1389799614463542
1998,BEL,GBR,-.1349739037082449
1999,BEL,GBR,-.1344822596812883
2000,BEL,GBR,-.1724769826140079
2002,BEL,GBR,-.1527098405022236
2003,BEL,GBR,-.1493393792304582
2004,BEL,GBR,-.1536483530755087
2005,BEL,GBR,-.1594915789321241
2006,BEL,GBR,-.1485242940276744
2007,BEL,GBR,-.1504863640636122
2008,BEL,GBR,-.1641996332006037
2009,BEL,GBR,-.1586177867107116
2010,BEL,GBR,-.1459715206000608
2011,BEL,GBR,-.1551796562128487
2012,BEL,GBR,-.1833524678414433
2013,BEL,GBR,-.1782620775685308
2014,BEL,GBR,-.159787135972027
2015,BEL,GBR,-.1648780205213319
2016,BEL,GBR,-.1724299026193506
2017,BEL,GBR,-.1850521766514334
2018,BEL,GBR,-.1724438151444787
2019,BEL,GBR,-.1719759438189533
2021,BEL,GBR,-.1749618638953608
2022,BEL,GBR,-.1838129411252167
2023,BEL,GBR,-.1646527215851433
2024,BEL,GBR,-.1510845624166143
2025,BEL,GBR,
2026,BEL,GBR,
1957,BEL,CHE,
1958,BEL,CHE,
1959,BEL,CHE,
1960,BEL,CHE,
1961,BEL,CHE,
1962,BEL,CHE,
1963,BEL,CHE,
1964,BEL,CHE,
1965,BEL,CHE,
1966,BEL,CHE,
1967,BEL,CHE,
1968,BEL,CHE,
1969,BEL,CHE,
1970,BEL,CHE,
1971,BEL,CHE,
1972,BEL,CHE,
1973,BEL,CHE,
1974,BEL,CHE,
1975,BEL,CHE,
1976,BEL,CHE,
1977,BEL,CHE,
1978,BEL,CHE,
1979,BEL,CHE,
1980,BEL,CHE,
1981,BEL,CHE,
1982,BEL,CHE,
1983,BEL,CHE,
1984,BEL,CHE,
1985,BEL,CHE,
1986,BEL,CHE,
1987,BEL,CHE,
1988,BEL,CHE,
1989,BEL,CHE,
1990,BEL,CHE,
1991,BEL,CHE,
1992,BEL,CHE,
1993,BEL,CHE,
1996,BEL,CHE,-.0345637612927222
1998,BEL,CHE,-.030557703554613
2000,BEL,CHE,-.0680607824603757
2002,BEL,CHE,-.0482936403485914
2005,BEL,CHE,-.0550753787784922
2006,BEL,CHE,-.0441080938740427
2011,BEL,CHE,-.0507634560592164
2014,BEL,CHE,-.055370935818395
2019,BEL,CHE,-.0675597436653215
2021,BEL,CHE,-.0705456637417284
2022,BEL,CHE,-.079396740971585
2023,BEL,CHE,-.0602365214315109
2024,BEL,CHE,-.0466683622629819
2025,BEL,CHE,
1957,BEL,AUT,
1958,BEL,AUT,
1959,BEL,AUT,
1960,BEL,AUT,
1961,BEL,AUT,
1962,BEL,AUT,
1963,BEL,AUT,
1964,BEL,AUT,
1965,BEL,AUT,
1966,BEL,AUT,
1967,BEL,AUT,
1968,BEL,AUT,
1971,BEL,AUT,
1972,BEL,AUT,
1976,BEL,AUT,
1977,BEL,AUT,
1978,BEL,AUT,
1979,BEL,AUT,
1980,BEL,AUT,
1981,BEL,AUT,
1982,BEL,AUT,
1983,BEL,AUT,
1984,BEL,AUT,
1985,BEL,AUT,
1986,BEL,AUT,
1987,BEL,AUT,
1988,BEL,AUT,
1989,BEL,AUT,
1990,BEL,AUT,
1991,BEL,AUT,
1992,BEL,AUT,
1993,BEL,AUT,
1995,BEL,AUT,-.0441914875581764
1996,BEL,AUT,-.0350680362510552
1999,BEL,AUT,-.0305703344859893
2000,BEL,AUT,-.0685650574187081
2002,BEL,AUT,-.0487979153069241
2003,BEL,AUT,-.0454274540351597
2004,BEL,AUT,-.0497364278802095
2011,BEL,AUT,-.0512677310175496
2014,BEL,AUT,-.0558752107767284
2015,BEL,AUT,-.0609660953260323
2016,BEL,AUT,-.0685179774240514
2017,BEL,AUT,-.0811402514561341
2018,BEL,AUT,-.0685318899491792
2023,BEL,AUT,-.0607407963898434
2024,BEL,AUT,-.0471726372213151
2025,BEL,AUT,
2026,BEL,AUT,
1957,DNK,NLD,
1958,DNK,NLD,
1959,DNK,NLD,
1960,DNK,NLD,
1961,DNK,NLD,
1962,DNK,NLD,
1963,DNK,NLD,
1964,DNK,NLD,
1965,DNK,NLD,
1966,DNK,NLD,
1978,DNK,NLD,
1979,DNK,NLD,
1980,DNK,NLD,
1981,DNK,NLD,
1982,DNK,NLD,
1983,DNK,NLD,
1984,DNK,NLD,
1986,DNK,NLD,
1987,DNK,NLD,
1988,DNK,NLD,
1989,DNK,NLD,
1990,DNK,NLD,
1992,DNK,NLD,
1993,DNK,NLD,
1997,DNK,NLD,-.0305724317693822
1999,DNK,NLD,-.0084495442067952
2000,DNK,NLD,-.0464442671395141
2001,DNK,NLD,-.0134179232026255
2004,DNK,NLD,-.0276156376010155
2013,DNK,NLD,-.0522293620940373
2014,DNK,NLD,-.0337544204975345
2016,DNK,NLD,-.046397187144858
2017,DNK,NLD,-.0590194611769403
2018,DNK,NLD,-.0464110996699851
2019,DNK,NLD,-.0459432283444601
2021,DNK,NLD,-.0489291484208666
2022,DNK,NLD,-.0577802256507238
2025,DNK,NLD,
1957,DNK,FRA,
1958,DNK,FRA,
1959,DNK,FRA,
1960,DNK,FRA,
1961,DNK,FRA,
1962,DNK,FRA,
1963,DNK,FRA,
1964,DNK,FRA,
1965,DNK,FRA,
1966,DNK,FRA,
1978,DNK,FRA,
1979,DNK,FRA,
1980,DNK,FRA,
1981,DNK,FRA,
1983,DNK,FRA,
1984,DNK,FRA,
1985,DNK,FRA,
1986,DNK,FRA,
1987,DNK,FRA,
1988,DNK,FRA,
1989,DNK,FRA,
1990,DNK,FRA,
1991,DNK,FRA,
1992,DNK,FRA,
1993,DNK,FRA,
1995,DNK,FRA,-.1038815793690005
1997,DNK,FRA,-.1123833138594012
1999,DNK,FRA,-.0902604262968136
2000,DNK,FRA,-.1282551492295325
2001,DNK,FRA,-.0952288052926439
2002,DNK,FRA,-.1084880071177489
2004,DNK,FRA,-.1094265196910342
2005,DNK,FRA,-.1152697455476498
