year,round,from_country_id,to_country_id,total_points,tele_points,jury_points
2024,final,EST,FIN,8,8,0
2024,final,EST,LVA,4,3,1
2024,final,EST,LUX,0,0,0
2024,final,EST,GEO,0,0,0
2024,final,EST,DEU,4,0,4
2024,final,EST,PRT,0,0,0
2024,final,EST,SVN,0,0,0
2024,final,EST,ESP,0,0,0
2024,final,EST,AUT,0,0,0
2024,final,EST,NOR,0,0,0
2024,final,EST,GBR,0,0,0
2024,final,FIN,HRV,20,10,10
2024,final,FIN,ISR,12,12,0
2024,final,FIN,UKR,14,6,8
2024,final,FIN,FRA,9,4,5
2024,final,FIN,CHE,20,8,12
2024,final,FIN,IRL,11,5,6
2024,final,FIN,ITA,0,0,0
2024,final,FIN,GRC,0,0,0
2024,final,FIN,ARM,0,0,0
2024,final,FIN,LTU,0,0,0
2024,final,FIN,SWE,7,0,7
2024,final,FIN,CYP,0,0,0
2024,final,FIN,EST,7,7,0
2024,final,FIN,SRB,0,0,0
2024,final,FIN,FIN,0,0,0
2024,final,FIN,LVA,0,0,0
2024,final,FIN,LUX,4,0,4
2024,final,FIN,GEO,0,0,0
2024,final,FIN,DEU,3,0,3
2024,final,FIN,PRT,0,0,0
2024,final,FIN,SVN,0,0,0
2024,final,FIN,ESP,4,3,1
2024,final,FIN,AUT,2,2,0
2024,final,FIN,NOR,3,1,2
2024,final,FIN,GBR,0,0,0
2024,final,FRA,HRV,9,7,2
2024,final,FRA,ISR,15,12,3
2024,final,FRA,UKR,18,8,10
2024,final,FRA,FRA,0,0,0
2024,final,FRA,CHE,11,6,5
2024,final,FRA,IRL,0,0,0
2024,final,FRA,ITA,4,4,0
2024,final,FRA,GRC,5,1,4
2024,final,FRA,ARM,16,10,6
2024,final,FRA,LTU,1,0,1
2024,final,FRA,SWE,0,0,0
2024,final,FRA,CYP,0,0,0
2024,final,FRA,EST,0,0,0
2024,final,FRA,SRB,0,0,0
2024,final,FRA,FIN,0,0,0
2024,final,FRA,LVA,0,0,0
2024,final,FRA,LUX,10,3,7
2024,final,FRA,GEO,0,0,0
2024,final,FRA,DEU,8,0,8
2024,final,FRA,PRT,17,5,12
2024,final,FRA,SVN,0,0,0
2024,final,FRA,ESP,2,2,0
2024,final,FRA,AUT,0,0,0
2024,final,FRA,NOR,0,0,0
2024,final,FRA,GBR,0,0,0
2024,final,GEO,HRV,6,5,1
2024,final,GEO,ISR,11,8,3
2024,final,GEO,UKR,17,12,5
2024,final,GEO,FRA,16,6,10
2024,final,GEO,CHE,19,7,12
2024,final,GEO,IRL,4,4,0
2024,final,GEO,ITA,10,3,7
2024,final,GEO,GRC,2,2,0
2024,final,GEO,ARM,16,10,6
2024,final,GEO,LTU,0,0,0
2024,final,GEO,SWE,0,0,0
2024,final,GEO,CYP,0,0,0
2024,final,GEO,EST,0,0,0
2024,final,GEO,SRB,0,0,0
2024,final,GEO,FIN,0,0,0
2024,final,GEO,LVA,9,1,8
2024,final,GEO,LUX,0,0,0
2024,final,GEO,GEO,0,0,0
2024,final,GEO,DEU,2,0,2
2024,final,GEO,PRT,4,0,4
2024,final,GEO,SVN,0,0,0
2024,final,GEO,ESP,0,0,0
2024,final,GEO,AUT,0,0,0
2024,final,GEO,NOR,0,0,0
2024,final,GEO,GBR,0,0,0
2024,final,DEU,HRV,16,10,6
2024,final,DEU,ISR,20,12,8
2024,final,DEU,UKR,12,8,4
2024,final,DEU,FRA,16,6,10
2024,final,DEU,CHE,12,7,5
2024,final,DEU,IRL,1,1,0
2024,final,DEU,ITA,5,3,2
2024,final,DEU,GRC,5,5,0
2024,final,DEU,ARM,11,4,7
2024,final,DEU,LTU,3,2,1
2024,final,DEU,SWE,12,0,12
2024,final,DEU,CYP,0,0,0
2024,final,DEU,EST,0,0,0
2024,final,DEU,SRB,0,0,0
2024,final,DEU,FIN,0,0,0
2024,final,DEU,LVA,0,0,0
2024,final,DEU,LUX,3,0,3
2024,final,DEU,GEO,0,0,0
2024,final,DEU,DEU,0,0,0
2024,final,DEU,PRT,0,0,0
2024,final,DEU,SVN,0,0,0
2024,final,DEU,ESP,0,0,0
2024,final,DEU,AUT,0,0,0
2024,final,DEU,NOR,0,0,0
2024,final,DEU,GBR,0,0,0
2024,final,GRC,HRV,6,6,0
2024,final,GRC,ISR,7,7,0
2024,final,GRC,UKR,5,3,2
2024,final,GRC,FRA,17,10,7
2024,final,GRC,CHE,20,8,12
2024,final,GRC,IRL,2,2,0
2024,final,GRC,ITA,12,4,8
2024,final,GRC,GRC,0,0,0
2024,final,GRC,ARM,9,5,4
2024,final,GRC,LTU,0,0,0
2024,final,GRC,SWE,2,1,1
2024,final,GRC,CYP,22,12,10
2024,final,GRC,EST,0,0,0
2024,final,GRC,SRB,0,0,0
2024,final,GRC,FIN,0,0,0
2024,final,GRC,LVA,0,0,0
2024,final,GRC,LUX,3,0,3
2024,final,GRC,GEO,0,0,0
2024,final,GRC,DEU,5,0,5
2024,final,GRC,PRT,6,0,6
2024,final,GRC,SVN,0,0,0
2024,final,GRC,ESP,0,0,0
2024,final,GRC,AUT,0,0,0
2024,final,GRC,NOR,0,0,0
2024,final,GRC,GBR,0,0,0
2024,final,ISL,HRV,22,12,10
2024,final,ISL,ISR,8,8,0
2024,final,ISL,UKR,8,5,3
2024,final,ISL,FRA,22,10,12
2024,final,ISL,CHE,12,6,6
2024,final,ISL,IRL,10,3,7
2024,final,ISL,ITA,0,0,0
2024,final,ISL,GRC,0,0,0
2024,final,ISL,ARM,5,0,5
2024,final,ISL,LTU,4,4,0
2024,final,ISL,SWE,8,7,1
2024,final,ISL,CYP,0,0,0
2024,final,ISL,EST,0,0,0
2024,final,ISL,SRB,0,0,0
2024,final,ISL,FIN,1,1,0
2024,final,ISL,LVA,0,0,0
2024,final,ISL,LUX,0,0,0
2024,final,ISL,GEO,0,0,0
2024,final,ISL,DEU,4,2,2
2024,final,ISL,PRT,4,0,4
2024,final,ISL,SVN,0,0,0
2024,final,ISL,ESP,0,0,0
2024,final,ISL,AUT,0,0,0
2024,final,ISL,NOR,0,0,0
2024,final,ISL,GBR,8,0,8
2024,final,IRL,HRV,19,12,7
2024,final,IRL,ISR,10,10,0
2024,final,IRL,UKR,10,8,2
2024,final,IRL,FRA,7,4,3
2024,final,IRL,CHE,18,6,12
2024,final,IRL,IRL,0,0,0
2024,final,IRL,ITA,1,1,0
2024,final,IRL,GRC,0,0,0
2024,final,IRL,ARM,0,0,0
2024,final,IRL,LTU,7,7,0
2024,final,IRL,SWE,10,0,10
2024,final,IRL,CYP,0,0,0
2024,final,IRL,EST,0,0,0
2024,final,IRL,SRB,1,0,1
2024,final,IRL,FIN,3,3,0
2024,final,IRL,LVA,5,5,0
2024,final,IRL,LUX,8,0,8
2024,final,IRL,GEO,0,0,0
2024,final,IRL,DEU,6,0,6
2024,final,IRL,PRT,5,0,5
2024,final,IRL,SVN,0,0,0
2024,final,IRL,ESP,2,2,0
2024,final,IRL,AUT,0,0,0
2024,final,IRL,NOR,0,0,0
2024,final,IRL,GBR,4,0,4
2024,final,ISR,HRV,9,5,4
2024,final,ISR,ISR,0,0,0
2024,final,ISR,UKR,18,10,8
2024,final,ISR,FRA,3,2,1
2024,final,ISR,CHE,5,0,5
2024,final,ISR,IRL,0,0,0
2024,final,ISR,ITA,13,7,6
2024,final,ISR,GRC,0,0,0
2024,final,ISR,ARM,6,6,0
2024,final,ISR,LTU,0,0,0
2024,final,ISR,SWE,0,0,0
2024,final,ISR,CYP,1,1,0
2024,final,ISR,EST,0,0,0
2024,final,ISR,SRB,0,0,0
2024,final,ISR,FIN,0,0,0
2024,final,ISR,LVA,0,0,0
2024,final,ISR,LUX,24,12,12
2024,final,ISR,GEO,6,4,2
2024,final,ISR,DEU,18,8,10
2024,final,ISR,PRT,3,0,3
2024,final,ISR,SVN,0,0,0
2024,final,ISR,ESP,0,0,0
2024,final,ISR,AUT,10,3,7
2024,final,ISR,NOR,0,0,0
2024,final,ISR,GBR,0,0,0
2024,final,ITA,HRV,16,8,8
2024,final,ITA,ISR,12,12,0
2024,final,ITA,UKR,10,10,0
2024,final,ITA,FRA,7,6,1
2024,final,ITA,CHE,19,7,12
2024,final,ITA,IRL,13,3,10
2024,final,ITA,ITA,0,0,0
2024,final,ITA,GRC,2,2,0
2024,final,ITA,ARM,7,4,3
2024,final,ITA,LTU,0,0,0
2024,final,ITA,SWE,6,0,6
2024,final,ITA,CYP,0,0,0
2024,final,ITA,EST,2,0,2
2024,final,ITA,SRB,0,0,0
2024,final,ITA,FIN,0,0,0
2024,final,ITA,LVA,0,0,0
2024,final,ITA,LUX,0,0,0
2024,final,ITA,GEO,5,5,0
2024,final,ITA,DEU,4,0,4
2024,final,ITA,PRT,0,0,0
2024,final,ITA,SVN,0,0,0
2024,final,ITA,ESP,8,1,7
2024,final,ITA,AUT,5,0,5
2024,final,ITA,NOR,0,0,0
2024,final,ITA,GBR,0,0,0
2024,final,LVA,HRV,11,5,6
2024,final,LVA,ISR,7,7,0
2024,final,LVA,UKR,10,10,0
2024,final,LVA,FRA,16,6,10
2024,final,LVA,CHE,16,4,12
2024,final,LVA,IRL,11,3,8
2024,final,LVA,ITA,0,0,0
2024,final,LVA,GRC,3,0,3
2024,final,LVA,ARM,7,2,5
2024,final,LVA,LTU,8,8,0
2024,final,LVA,SWE,1,0,1
2024,final,LVA,CYP,0,0,0
2024,final,LVA,EST,12,12,0
2024,final,LVA,SRB,0,0,0
2024,final,LVA,FIN,1,1,0
2024,final,LVA,LVA,0,0,0
2024,final,LVA,LUX,4,0,4
2024,final,LVA,GEO,0,0,0
2024,final,LVA,DEU,7,0,7
2024,final,LVA,PRT,0,0,0
2024,final,LVA,SVN,0,0,0
2024,final,LVA,ESP,0,0,0
2024,final,LVA,AUT,0,0,0
2024,final,LVA,NOR,0,0,0
2024,final,LVA,GBR,2,0,2
2024,final,LTU,HRV,20,10,10
2024,final,LTU,ISR,7,3,4
2024,final,LTU,UKR,18,12,6
2024,final,LTU,FRA,14,7,7
2024,final,LTU,CHE,20,8,12
2024,final,LTU,IRL,8,5,3
2024,final,LTU,ITA,2,2,0
2024,final,LTU,GRC,0,0,0
2024,final,LTU,ARM,0,0,0
2024,final,LTU,LTU,0,0,0
2024,final,LTU,SWE,6,1,5
2024,final,LTU,CYP,0,0,0
2024,final,LTU,EST,6,6,0
2024,final,LTU,SRB,0,0,0
2024,final,LTU,FIN,0,0,0
2024,final,LTU,LVA,4,4,0
2024,final,LTU,LUX,0,0,0
2024,final,LTU,GEO,0,0,0
2024,final,LTU,DEU,1,0,1
2024,final,LTU,PRT,8,0,8
2024,final,LTU,SVN,0,0,0
2024,final,LTU,ESP,0,0,0
2024,final,LTU,AUT,0,0,0
2024,final,LTU,NOR,2,0,2
2024,final,LTU,GBR,0,0,0
2024,final,LUX,HRV,16,10,6
2024,final,LUX,ISR,12,12,0
2024,final,LUX,UKR,12,7,5
2024,final,LUX,FRA,18,8,10
2024,final,LUX,CHE,14,2,12
2024,final,LUX,IRL,0,0,0
2024,final,LUX,ITA,3,3,0
2024,final,LUX,GRC,5,5,0
2024,final,LUX,ARM,2,0,2
2024,final,LUX,LTU,4,4,0
2024,final,LUX,SWE,1,0,1
2024,final,LUX,CYP,7,0,7
2024,final,LUX,EST,0,0,0
2024,final,LUX,SRB,0,0,0
2024,final,LUX,FIN,0,0,0
2024,final,LUX,LVA,8,0,8
2024,final,LUX,LUX,0,0,0
2024,final,LUX,GEO,0,0,0
2024,final,LUX,DEU,5,1,4
2024,final,LUX,PRT,9,6,3
2024,final,LUX,SVN,0,0,0
2024,final,LUX,ESP,0,0,0
2024,final,LUX,AUT,0,0,0
2024,final,LUX,NOR,0,0,0
2024,final,LUX,GBR,0,0,0
2024,final,MLT,HRV,20,10,10
2024,final,MLT,ISR,8,5,3
2024,final,MLT,UKR,12,12,0
2024,final,MLT,FRA,13,7,6
2024,final,MLT,CHE,18,6,12
2024,final,MLT,IRL,11,4,7
2024,final,MLT,ITA,16,8,8
2024,final,MLT,GRC,2,2,0
2024,final,MLT,ARM,0,0,0
2024,final,MLT,LTU,0,0,0
2024,final,MLT,SWE,1,1,0
2024,final,MLT,CYP,0,0,0
2024,final,MLT,EST,0,0,0
2024,final,MLT,SRB,3,3,0
2024,final,MLT,FIN,0,0,0
2024,final,MLT,LVA,5,0,5
2024,final,MLT,LUX,4,0,4
2024,final,MLT,GEO,0,0,0
2024,final,MLT,DEU,0,0,0
2024,final,MLT,PRT,1,0,1
2024,final,MLT,SVN,0,0,0
2024,final,MLT,ESP,0,0,0
2024,final,MLT,AUT,0,0,0
2024,final,MLT,NOR,0,0,0
2024,final,MLT,GBR,0,0,0
2024,final,MDA,HRV,15,7,8
2024,final,MDA,ISR,13,10,3
2024,final,MDA,UKR,24,12,12
2024,final,MDA,FRA,12,6,6
2024,final,MDA,CHE,12,5,7
2024,final,MDA,IRL,2,2,0
2024,final,MDA,ITA,14,4,10
2024,final,MDA,GRC,3,3,0
2024,final,MDA,ARM,1,1,0
2024,final,MDA,LTU,5,0,5
2024,final,MDA,SWE,9,8,1
2024,final,MDA,CYP,0,0,0
2024,final,MDA,EST,0,0,0
2024,final,MDA,SRB,0,0,0
2024,final,MDA,FIN,0,0,0
2024,final,MDA,LVA,0,0,0
2024,final,MDA,LUX,2,0,2
2024,final,MDA,GEO,0,0,0
2024,final,MDA,DEU,0,0,0
2024,final,MDA,PRT,4,0,4
2024,final,MDA,SVN,0,0,0
2024,final,MDA,ESP,0,0,0
2024,final,MDA,AUT,0,0,0
2024,final,MDA,NOR,0,0,0
2024,final,MDA,GBR,0,0,0
2024,final,NLD,HRV,17,10,7
2024,final,NLD,ISR,12,12,0
2024,final,NLD,UKR,10,8,2
2024,final,NLD,FRA,15,5,10
2024,final,NLD,CHE,19,7,12
2024,final,NLD,IRL,6,6,0
2024,final,NLD,ITA,8,2,6
2024,final,NLD,GRC,4,4,0
2024,final,NLD,ARM,6,3,3
2024,final,NLD,LTU,5,1,4
2024,final,NLD,SWE,0,0,0
2024,final,NLD,CYP,0,0,0
2024,final,NLD,EST,0,0,0
2024,final,NLD,SRB,0,0,0
2024,final,NLD,FIN,0,0,0
2024,final,NLD,LVA,1,0,1
2024,final,NLD,LUX,0,0,0
2024,final,NLD,GEO,0,0,0
2024,final,NLD,DEU,5,0,5
2024,final,NLD,PRT,8,0,8
2024,final,NLD,SVN,0,0,0
2024,final,NLD,ESP,0,0,0
2024,final,NLD,AUT,0,0,0
2024,final,NLD,NOR,0,0,0
2024,final,NLD,GBR,0,0,0
2024,final,NOR,HRV,12,12,0
2024,final,NOR,ISR,13,5,8
2024,final,NOR,UKR,12,8,4
2024,final,NOR,FRA,17,7,10
2024,final,NOR,CHE,18,6,12
2024,final,NOR,IRL,4,4,0
2024,final,NOR,ITA,5,0,5
2024,final,NOR,GRC,2,0,2
2024,final,NOR,ARM,7,0,7
2024,final,NOR,LTU,3,3,0
2024,final,NOR,SWE,13,10,3
2024,final,NOR,CYP,0,0,0
2024,final,NOR,EST,0,0,0
2024,final,NOR,SRB,0,0,0
2024,final,NOR,FIN,1,1,0
2024,final,NOR,LVA,2,2,0
2024,final,NOR,LUX,0,0,0
2024,final,NOR,GEO,1,0,1
2024,final,NOR,DEU,6,0,6
2024,final,NOR,PRT,0,0,0
2024,final,NOR,SVN,0,0,0
2024,final,NOR,ESP,0,0,0
2024,final,NOR,AUT,0,0,0
2024,final,NOR,NOR,0,0,0
2024,final,NOR,GBR,0,0,0
2024,final,POL,HRV,18,10,8
2024,final,POL,ISR,5,5,0
2024,final,POL,UKR,22,12,10
2024,final,POL,FRA,10,7,3
2024,final,POL,CHE,20,8,12
2024,final,POL,IRL,7,6,1
2024,final,POL,ITA,11,4,7
2024,final,POL,GRC,0,0,0
2024,final,POL,ARM,0,0,0
2024,final,POL,LTU,3,3,0
2024,final,POL,SWE,7,2,5
2024,final,POL,CYP,0,0,0
2024,final,POL,EST,0,0,0
2024,final,POL,SRB,0,0,0
2024,final,POL,FIN,1,1,0
2024,final,POL,LVA,2,0,2
2024,final,POL,LUX,0,0,0
2024,final,POL,GEO,0,0,0
2024,final,POL,DEU,4,0,4
2024,final,POL,PRT,6,0,6
2024,final,POL,SVN,0,0,0
2024,final,POL,ESP,0,0,0
2024,final,POL,AUT,0,0,0
2024,final,POL,NOR,0,0,0
2024,final,POL,GBR,0,0,0
2024,final,PRT,HRV,7,7,0
2024,final,PRT,ISR,12,12,0
2024,final,PRT,UKR,16,10,6
2024,final,PRT,FRA,8,8,0
2024,final,PRT,CHE,18,6,12
2024,final,PRT,IRL,15,5,10
2024,final,PRT,ITA,9,4,5
2024,final,PRT,GRC,0,0,0
2024,final,PRT,ARM,10,2,8
2024,final,PRT,LTU,7,0,7
2024,final,PRT,SWE,3,0,3
2024,final,PRT,CYP,1,1,0
2024,final,PRT,EST,0,0,0
2024,final,PRT,SRB,1,0,1
2024,final,PRT,FIN,0,0,0
2024,final,PRT,LVA,0,0,0
2024,final,PRT,LUX,0,0,0
2024,final,PRT,GEO,0,0,0
2024,final,PRT,DEU,2,0,2
2024,final,PRT,PRT,0,0,0
2024,final,PRT,SVN,0,0,0
2024,final,PRT,ESP,0,0,0
2024,final,PRT,AUT,0,0,0
2024,final,PRT,NOR,0,0,0
2024,final,PRT,GBR,4,0,4
2024,final,SMR,HRV,8,8,0
2024,final,SMR,ISR,12,12,0
2024,final,SMR,UKR,10,10,0
2024,final,SMR,FRA,6,6,0
2024,final,SMR,CHE,17,5,12
2024,final,SMR,IRL,9,2,7
2024,final,SMR,ITA,13,3,10
2024,final,SMR,GRC,7,7,0
2024,final,SMR,ARM,8,0,8
2024,final,SMR,LTU,1,1,0
2024,final,SMR,SWE,2,0,2
2024,final,SMR,CYP,7,4,3
